REGISTRO_ANIMAL rgd_pai rgd_mae idade_des classe_mae GCDES contagemGC peso_nasc pd_aj conformacao_des precocidade_des musculosidade_des umbigo_des sexo safra GM_DES faz datanas id_mae
B7223 9208FM GO030013 221 5 F2011G01 97 32,00 172,63 3,00 4,00 3,00 3,00 F 2011 G01 FB 9/9/2011 99
B7224 1314807FM BM050259 221 5 F2011G01 97 23,00 144,63 2,00 2,00 2,00 2,00 F 2011 G01 FB 9/9/2011 74
B7225 KAPBRMNE1142 BR051135 221 4 F2011G01 97 33,00 171,73 3,00 2,00 2,00 3,00 F 2011 G01 FB 9/9/2011 71
B7226 099102AJ BR060243 221 4 M2011G08 97 43,00 202,64 5,00 3,00 3,00 2,00 M 2011 G08 FB 9/9/2011 62
B7227 099102AJ 0133TGPC 221 3 M2011G08 97 34,00 185,09 3,00 4,00 4,00 3,00 M 2011 G08 FB 9/9/2011 48
B7228 A3342 Y3251 221 3 M2011G08 97 38,00 201,44 5,00 5,00 5,00 3,00 M 2011 G08 FB 9/9/2011 37
B7229 NANA1053 Y0576 221 4 M2011G08 97 32,00 190,69 4,00 5,00 5,00 2,00 M 2011 G08 FB 9/9/2011 49
B7230 KAPBRMNE1168 BM080788 221 2 M2011G08 97 33,00 198,34 5,00 5,00 5,00 2,00 M 2011 G08 FB 9/9/2011 33
B7231 872101AJ BR070612 221 4 M2011G08 97 32,00 178,33 3,00 4,00 4,00 3,00 M 2011 G08 FB 9/9/2011 49
B7232 099102AJ y3341 221 2 M2011G08 97 44,00 192,24 4,00 2,00 2,00 1,00 M 2011 G08 FB 9/9/2011 34
B7233 099102AJ BM070413 221 3 M2011G08 97 33,00 185,99 4,00 4,00 3,00 2,00 M 2011 G08 FB 9/9/2011 48
B7234 099102AJ 0855TKBE 221 4 M2011G08 97 38,00 158,68 3,00 3,00 3,00 3,00 M 2011 G08 FB 9/9/2011 50
B7235 872101AJ 0817KBE 221 4 M2011G08 97 28,00 163,88 3,00 3,00 3,00 2,00 M 2011 G08 FB 9/9/2011 50
B7236 099102AJ Y0416 221 3 F2011G07 91 32,00 200,19 5,00 4,00 5,00 2,00 F 2011 G07 FB 9/9/2011 47
B7237 SF054303 BR081245 221 2 F2011G07 91 35,00 168,98 4,00 3,00 3,00 3,00 F 2011 G07 FB 9/9/2011 34
B7238 A3342 BM070472 218 3 F2011G07 91 35,00 190,09 4,00 3,00 4,00 3,00 F 2011 G07 FB 12/9/2011 48
B7239 SF054303 BR070494 218 4 F2011G07 91 32,00 187,09 5,00 5,00 5,00 3,00 F 2011 G07 FB 12/9/2011 50
B7240 KAPBRMNE1148 X2159 218 4 M2011G08 97 34,00 181,39 4,00 3,00 3,00 2,00 M 2011 G08 FB 12/9/2011 49
B7241 872101AJ BM070230 218 4 M2011G08 97 38,00 231,62 5,00 5,00 5,00 2,00 M 2011 G08 FB 12/9/2011 49
B7242 SF054303 393T 218 3 M2011G08 97 34,00 210,28 5,00 5,00 4,00 3,00 M 2011 G08 FB 12/9/2011 48
B7243 099102AJ 0570GPC 218 3 M2011G08 97 34,00 207,39 4,00 5,00 4,00 2,00 M 2011 G08 FB 12/9/2011 48
B7244 872101AJ 0445GPC 218 3 M2011G08 97 33,00 194,83 4,00 5,00 5,00 2,00 M 2011 G08 FB 12/9/2011 48
B7245 A3342 BR080174 218 3 M2011G08 97 29,00 185,06 4,00 4,00 3,00 4,00 M 2011 G08 FB 12/9/2011 45
B7246 A3342 Y0439 218 3 M2011G08 97 32,00 167,83 3,00 3,00 3,00 2,00 M 2011 G08 FB 12/9/2011 46
B7248 A3342 BR060508 218 4 M2011G08 97 35,00 212,25 5,00 5,00 5,00 3,00 M 2011 G08 FB 12/9/2011 61
B7249 A3342 BR070785 218 4 M2011G08 97 29,00 165,79 3,00 4,00 3,00 2,00 M 2011 G08 FB 12/9/2011 49
B7250 844408AJN GO050578 218 4 M2011G02 99 29,00 203,36 3,00 5,00 5,00 3,00 M 2011 G02 FB 12/9/2011 72
B7251 MANAB8369 BM020679 218 5 M2011G02 99 35,00 194,91 3,00 3,00 3,00 3,00 M 2011 G02 FB 12/9/2011 107
B7252 SF054303 CT060008 218 4 M2011G02 99 27,00 195,58 4,00 4,00 4,00 2,00 M 2011 G02 FB 12/9/2011 69
B7253 A3342 BR060437 218 4 M2011G02 99 30,00 185,09 2,00 4,00 4,00 2,00 M 2011 G02 FB 12/9/2011 61
B7254 1314807FM BR2000 218 7 M2011G02 99 29,00 182,17 2,00 3,00 3,00 2,00 M 2011 G02 FB 12/9/2011 160
B7255 KAP480 X1372 218 5 M2011G02 99 38,00 176,72 2,00 1,00 2,00 3,00 M 2011 G02 FB 12/9/2011 74
B7256 MANAB8369 KAPL0651 218 5 M2011G02 99 29,00 172,53 2,00 2,00 2,00 2,00 M 2011 G02 FB 12/9/2011 81
B7257 128708PA GO020299 218 5 M2011G02 99 32,00 191,91 4,00 4,00 4,00 3,00 M 2011 G02 FB 12/9/2011 110
B7258 1314807FM Z0395 218 5 M2011G02 99 32,00 174,57 2,00 2,00 1,00 2,00 M 2011 G02 FB 12/9/2011 96
B7259 099102AJ Z0038 218 4 M2011G02 99 41,00 207,65 4,00 4,00 4,00 3,00 M 2011 G02 FB 12/9/2011 61
B7260 844408AJN X0158 218 6 F2011G01 97 28,00 150,34 1,00 2,00 2,00 2,00 F 2011 G01 FB 12/9/2011 121
B7261 872101AJ X0742 218 7 F2011G01 97 34,00 174,64 2,00 3,00 3,00 2,00 F 2011 G01 FB 12/9/2011 158
B7262 844408AJN BR030029 218 5 F2011G01 97 31,00 165,86 2,00 2,00 3,00 3,00 F 2011 G01 FB 12/9/2011 105
B7263 368908PA X1088 218 5 F2011G01 97 25,00 156,01 2,00 2,00 2,00 3,00 F 2011 G01 FB 12/9/2011 117
B7264 872101AJ X1750 218 5 F2011G01 97 35,00 165,05 3,00 3,00 3,00 2,00 F 2011 G01 FB 12/9/2011 83
B7265 447101AJ BR2907 218 7 F2011G01 97 34,00 166,94 2,00 2,00 2,00 2,00 F 2011 G01 FB 12/9/2011 160
B7266 128708PA BR3390 218 6 F2011G01 97 34,00 207,39 4,00 5,00 5,00 2,00 F 2011 G01 FB 12/9/2011 133
B7267 KAP2376 X0977 218 5 F2011G09 101 30,00 179,31 4,00 5,00 5,00 2,00 F 2011 G09 FB 12/9/2011 111
B7268 099102AJ BR060640 218 4 F2011G09 101 36,00 213,25 5,00 5,00 5,00 2,00 F 2011 G09 FB 12/9/2011 61
B7269 NANA1053 X1029 218 6 F2011G09 101 34,00 170,79 0,00 0,00 0,00 0,00 F 2011 G09 FB 12/9/2011 130
B7270 368908PA X1559 218 5 F2011G09 101 28,00 176,35 4,00 4,00 4,00 2,00 F 2011 G09 FB 12/9/2011 74
B7271 MANAB8369 Z0060 218 4 F2011G09 101 38,00 193,09 5,00 5,00 5,00 3,00 F 2011 G09 FB 12/9/2011 56
B7272 KAPBRMNE1153 X0992 218 5 F2011G09 101 26,00 163,75 2,00 4,00 4,00 2,00 F 2011 G09 FB 12/9/2011 108
B7273 KAP2376 Z0662 218 5 F2011G09 101 41,00 202,83 5,00 4,00 3,00 3,00 F 2011 G09 FB 12/9/2011 96
B7274 KAP2376 Z0367 218 6 F2011G09 101 36,00 185,31 4,00 4,00 3,00 3,00 F 2011 G09 FB 12/9/2011 123
B7275 128708PA BM0528 218 7 F2011G09 101 29,00 187,94 5,00 5,00 4,00 2,00 F 2011 G09 FB 12/9/2011 155
B7276 A3342 GO050407 218 5 F2011G09 101 34,00 156,34 2,00 2,00 2,00 4,00 F 2011 G09 FB 12/9/2011 73
B7277 368908PA 330T 218 4 M2011G10 101 29,00 180,24 3,00 3,00 3,00 3,00 M 2011 G10 FB 12/9/2011 60
B7278 1314807FM BR4260 218 6 M2011G10 101 31,00 103,25 1,00 1,00 1,00 1,00 M 2011 G10 FB 12/9/2011 134
B7279 KAP480 BM070116 218 4 M2011G10 101 32,00 190,94 4,00 3,00 3,00 3,00 M 2011 G10 FB 12/9/2011 57
B7280 447101AJ X0370 218 5 M2011G10 101 27,00 170,53 3,00 3,00 2,00 3,00 M 2011 G10 FB 12/9/2011 82
B7281 447101AJ BR1775 218 7 M2011G10 101 25,00 172,39 3,00 3,00 3,00 4,00 M 2011 G10 FB 12/9/2011 257
B7282 872101AJ X1914 218 5 M2011G10 101 30,00 164,86 3,00 4,00 4,00 3,00 M 2011 G10 FB 12/9/2011 84
B7283 A3342 BM050431 218 4 M2011G10 101 31,00 192,83 4,00 4,00 4,00 3,00 M 2011 G10 FB 12/9/2011 71
B7284 368908PA BM0872 218 7 M2011G10 101 33,00 215,06 5,00 5,00 5,00 3,00 M 2011 G10 FB 12/9/2011 149
B7285 447101AJ X1316 218 7 M2011G10 101 35,00 203,58 4,00 5,00 4,00 3,00 M 2011 G10 FB 12/9/2011 160
B7286 MANAB8369 Z0056 216 4 M2011G10 101 33,00 161,33 3,00 3,00 3,00 3,00 M 2011 G10 FB 14/9/2011 60
B7287 650408TUL BR1073 216 7 M2011G10 101 28,00 201,06 5,00 5,00 5,00 3,00 M 2011 G10 FB 14/9/2011 170
B7288 844408AJN X0053 216 5 M2011G10 101 29,00 191,36 4,00 3,00 4,00 3,00 M 2011 G10 FB 14/9/2011 111
B7289 447101AJ BM1223 216 6 M2011G10 101 33,00 209,94 4,00 3,00 4,00 2,00 M 2011 G10 FB 14/9/2011 121
B7290 HBBO105694 BR020189 216 5 M2011G10 101 30,00 176,81 4,00 4,00 5,00 3,00 M 2011 G10 FB 14/9/2011 111
B7291 9208FM X0554 216 7 M2011G10 101 30,00 185,56 4,00 4,00 4,00 3,00 M 2011 G10 FB 14/9/2011 157
B7292 45166508EGA Z0244 216 5 M2011G10 101 30,00 181,67 4,00 4,00 4,00 3,00 M 2011 G10 FB 14/9/2011 111
B7293 KAP2376 GO020444 216 5 M2011G10 101 35,00 166,25 3,00 3,00 3,00 3,00 M 2011 G10 FB 14/9/2011 109
B7294 099102AJ BR050257 216 5 M2011G10 101 38,00 246,06 5,00 5,00 5,00 3,00 M 2011 G10 FB 14/9/2011 74
B7295 099102AJ X1897 216 4 M2011G10 101 30,00 173,89 4,00 4,00 3,00 3,00 M 2011 G10 FB 14/9/2011 57
B7296 1314807FM X1093 216 5 M2011G10 101 34,00 158,44 2,00 2,00 2,00 2,00 M 2011 G10 FB 14/9/2011 84
B7297 1314807FM Z0145 216 5 M2011G10 101 33,00 189,53 3,00 4,00 5,00 3,00 M 2011 G10 FB 14/9/2011 97
B7298 872101AJ CT050023 216 4 F2011G09 101 30,00 204,03 5,00 5,00 5,00 3,00 F 2011 G09 FB 14/9/2011 72
B7299 MANAB8369 X0276 216 4 F2011G09 101 33,00 188,56 4,00 5,00 4,00 3,00 F 2011 G09 FB 14/9/2011 57
B7300 NANA1053 X1911 216 5 F2011G09 101 28,00 192,31 5,00 5,00 5,00 2,00 F 2011 G09 FB 14/9/2011 83
B7301 844408AJN Z0014 216 5 F2011G09 101 28,00 186,47 5,00 5,00 5,00 3,00 F 2011 G09 FB 14/9/2011 95
B7302 45166508EGA Z0026 216 5 F2011G09 101 36,00 180,86 4,00 2,00 2,00 2,00 F 2011 G09 FB 14/9/2011 85
B7303 818904AJ X0750 216 5 F2011G09 101 29,00 183,58 3,00 4,00 4,00 2,00 F 2011 G09 FB 14/9/2011 109
B7304 SF054303 BR1973 216 7 F2011G09 101 26,00 167,94 3,00 5,00 5,00 3,00 F 2011 G09 FB 14/9/2011 160
B7305 KAPBRMNE1149 GO0106 216 6 F2011G09 101 25,00 174,72 4,00 5,00 4,00 2,00 F 2011 G09 FB 14/9/2011 132
B7306 368908PA GO040722 216 5 F2011G09 101 27,00 183,53 5,00 5,00 5,00 2,00 F 2011 G09 FB 14/9/2011 83
B7307 368908PA Z0613 216 5 F2011G09 101 32,00 170,06 3,00 4,00 3,00 3,00 F 2011 G09 FB 14/9/2011 97
B7308 15731814 BM040671 261 5 F2011G01A 20 24,00 97,22 1,00 1,00 1,00 1,00 F 2011 G01A FB 14/9/2011 82
B7309 099102AJ 872 216 5 F2011G09 101 28,00 169,94 4,00 4,00 3,00 2,00 F 2011 G09 FB 14/9/2011 98
B7310 KAPBRMNE1153 Z0601 216 7 F2011G09 101 25,00 137,78 1,00 1,00 1,00 1,00 F 2011 G09 FB 14/9/2011 162
B7311 KAPBRMMR1151 87895 261 4 M2011G08 97 33,00 192,31 5,00 5,00 5,00 4,00 M 2011 G08 FB 14/9/2011 71
B7312 099102AJ KAPL1781 216 4 M2011G08 97 43,00 201,47 4,00 3,00 3,00 3,00 M 2011 G08 FB 14/9/2011 59
B7313 SF054303 Y0288 216 3 M2011G08 97 33,00 180,78 3,00 4,00 4,00 3,00 M 2011 G08 FB 14/9/2011 46
B7314 KAP480 Y0061 216 4 M2011G08 97 43,00 191,75 5,00 3,00 3,00 2,00 M 2011 G08 FB 14/9/2011 49
B7315 099102AJ BR080123 216 3 M2011G08 97 35,00 186,67 4,00 4,00 3,00 2,00 M 2011 G08 FB 14/9/2011 45
B7316 MANAB8369 Y0953 216 3 M2011G08 97 32,00 188,53 3,00 3,00 3,00 4,00 M 2011 G08 FB 14/9/2011 46
B7317 A3342 BR070487 216 4 M2011G08 97 31,00 195,31 4,00 5,00 3,00 3,00 M 2011 G08 FB 14/9/2011 49
B7318 SF054303 BR071313 216 3 M2011G08 97 33,00 164,25 3,00 2,00 2,00 2,00 M 2011 G08 FB 14/9/2011 47
B7319 SF054303 Y0796 216 3 M2011G08 97 28,00 155,36 2,00 2,00 2,00 3,00 M 2011 G08 FB 14/9/2011 48
B7320 NANA1053 BR070402 216 4 M2011G08 97 27,00 156,31 3,00 3,00 4,00 2,00 M 2011 G08 FB 14/9/2011 50
B7321 KAP480 Y0447 216 3 M2011G08 97 39,00 215,94 5,00 3,00 3,00 3,00 M 2011 G08 FB 14/9/2011 47
B7322 45166508EGA BM070779 261 3 M2011G08 97 38,00 153,06 2,00 1,00 1,00 2,00 M 2011 G08 FB 14/9/2011 47
B7323 872101AJ Y1066 216 3 F2011G07 91 31,00 166,14 4,00 4,00 3,00 3,00 F 2011 G07 FB 14/9/2011 46
B7324 HBB128670 4958 214 4 M2011G04 52 30,00 198,79 0,00 0,00 0,00 0,00 M 2011 G04 FB 16/9/2011 52
B7325 15731814 Y0067 214 4 M2011G04 52 30,00 225,28 0,00 0,00 0,00 0,00 M 2011 G04 FB 16/9/2011 49
B7326 HBBPC255935 BR060381C 214 4 M2011G04 52 37,00 212,65 0,00 0,00 0,00 0,00 M 2011 G04 FB 16/9/2011 62
B7327 KAPBRMMR1151 BR040925 214 5 M2011G04 52 32,00 229,24 0,00 0,00 0,00 0,00 M 2011 G04 FB 16/9/2011 83
B7328 15731812 0094B 259 3 M2011G04 52 33,00 156,24 0,00 0,00 0,00 0,00 M 2011 G04 FB 16/9/2011 39
B7329 HBB128670 BR050794 214 4 M2011G04 52 35,00 230,28 0,00 0,00 0,00 0,00 M 2011 G04 FB 16/9/2011 72
B7330 KAPBRMMR1151 BR3450A 214 6 F2011G03 47 34,00 198,86 0,00 0,00 0,00 0,00 F 2011 G03 FB 16/9/2011 132
B7331 HBB128670 33183 214 4 M2011G04 52 31,00 222,36 0,00 0,00 0,00 0,00 M 2011 G04 FB 16/9/2011 52
B7332 KAPBRMMR1151 BR040606 214 5 F2011G03 47 43,00 223,56 0,00 0,00 0,00 0,00 F 2011 G03 FB 16/9/2011 84
B7333 0 BR061091 214 4 F2011G03 47 36,00 197,92 0,00 0,00 0,00 0,00 F 2011 G03 N_INFO 16/9/2011 60
B7334 HBBO105694 BR061091 214 4 F2011G03 47 36,00 229,32 0,00 0,00 0,00 0,00 F 2011 G03 FB 16/9/2011 60
B7336 844408AJN BM040563 214 5 M2011G10 101 32,00 196,86 4,00 4,00 4,00 3,00 M 2011 G10 FB 16/9/2011 82
B7337 447101AJ 270 214 5 M2011G10 101 31,00 178,20 2,00 3,00 3,00 2,00 M 2011 G10 FB 16/9/2011 112
B7338 NANA1053 X0678 214 5 M2011G10 101 31,00 222,36 5,00 5,00 5,00 3,00 M 2011 G10 FB 16/9/2011 85
B7339 099102AJ BM050669 214 4 M2011G10 101 36,00 223,43 5,00 5,00 5,00 3,00 M 2011 G10 FB 16/9/2011 70
B7340 2708FSA Z0337 214 5 M2011G10 101 28,00 196,79 5,00 4,00 4,00 3,00 M 2011 G10 FB 16/9/2011 97
B7341 872101AJ X0530 214 5 M2011G10 101 30,00 179,16 4,00 4,00 5,00 3,00 M 2011 G10 FB 16/9/2011 74
B7342 128708PA BR2094 214 7 M2011G10 101 28,00 178,14 3,00 4,00 3,00 3,00 M 2011 G10 FB 16/9/2011 157
B7343 099102AJ Z0246 214 5 M2011G10 101 42,00 235,32 5,00 4,00 5,00 3,00 M 2011 G10 FB 16/9/2011 83
B7344 099102AJ BR030850 214 5 M2011G10 101 33,00 209,64 5,00 5,00 5,00 3,00 M 2011 G10 FB 16/9/2011 97
B7345 KAPBRMNE1146 BM050417 214 4 M2011G10 101 28,00 181,08 4,00 4,00 4,00 3,00 M 2011 G10 FB 16/9/2011 72
B7346 844408AJN BR3505 214 6 M2011G10 101 27,00 177,14 3,00 4,00 3,00 3,00 M 2011 G10 FB 16/9/2011 135
B7347 872101AJ X0412 214 7 M2011G10 101 31,00 194,88 4,00 3,00 3,00 3,00 M 2011 G10 FB 16/9/2011 208
B7348 SF054303 X1072 214 5 M2011G10 101 29,00 141,85 2,00 2,00 1,00 2,00 M 2011 G10 FB 16/9/2011 106
B7349 2708FSA X0249 214 4 M2011G10 101 37,00 196,95 4,00 3,00 3,00 2,00 M 2011 G10 FB 16/9/2011 60
B7350 5877605PA X1591A 214 5 M2011G10 101 31,00 178,20 4,00 4,00 4,00 3,00 M 2011 G10 FB 16/9/2011 83
B7351 128708PA BM1043 214 7 F2011G09 101 34,00 198,86 5,00 5,00 5,00 2,00 F 2011 G09 FB 16/9/2011 148
B7352 KAPBRMNE1153 BR022755 214 5 F2011G09 101 33,00 189,03 4,00 5,00 4,00 3,00 F 2011 G09 FB 16/9/2011 111
B7353 KAPBRMNE1146 BR2309 214 7 F2011G09 101 23,00 153,51 2,00 2,00 1,00 2,00 F 2011 G09 FB 16/9/2011 158
B7354 KAP480 BM0748A 214 7 F2011G09 101 33,00 190,99 5,00 5,00 5,00 2,00 F 2011 G09 FB 16/9/2011 146
B7355 4508FSA BR1460 214 7 F2011G09 101 35,00 184,16 4,00 5,00 4,00 2,00 F 2011 G09 FB 16/9/2011 169
B7356 368908PA X0721 214 6 F2011G09 101 29,00 149,70 2,00 2,00 1,00 2,00 F 2011 G09 FB 16/9/2011 130
B7357 KAP480 BM060230 214 4 F2011G09 101 24,00 175,12 3,00 3,00 3,00 2,00 F 2011 G09 FB 16/9/2011 68
B7358 128708PA BR2430 214 7 F2011G09 101 24,00 181,99 3,00 4,00 4,00 3,00 F 2011 G09 FB 16/9/2011 160
B7359 447101AJ GO0359 214 5 F2011G09 101 32,00 182,14 4,00 3,00 4,00 3,00 F 2011 G09 FB 16/9/2011 119
B7360 15731812 BR2968 214 7 F2011G09 101 28,00 158,51 1,00 2,00 2,00 2,00 F 2011 G09 FB 16/9/2011 146
B7361 368908PA BR2314 214 7 F2011G09 101 27,00 177,14 3,00 5,00 4,00 2,00 F 2011 G09 FB 16/9/2011 157
B7362 128708PA Z0496 214 5 F2011G09 101 33,00 183,14 4,00 5,00 4,00 2,00 F 2011 G09 FB 16/9/2011 97
B7363 KAP480 FU050024 213 5 M2011G10 101 35,00 181,90 4,00 4,00 4,00 3,00 M 2011 G10 FB 17/9/2011 78
B7364 818904AJ X0366 213 4 M2011G10 101 32,00 180,87 3,00 4,00 3,00 2,00 M 2011 G10 FB 17/9/2011 71
B7365 368908PA Z0168 213 5 F2011G09 101 33,00 174,97 4,00 5,00 4,00 3,00 F 2011 G09 FB 17/9/2011 98
B7366 368908PA BM1264 213 6 F2011G09 101 29,00 200,55 5,00 5,00 5,00 2,00 F 2011 G09 FB 17/9/2011 123
B7367 368908PA X1184 213 5 F2011G09 101 25,00 194,58 5,00 4,00 3,00 2,00 F 2011 G09 FB 17/9/2011 109
B7368 872101AJ Z0238 213 5 F2011G09 101 31,00 176,92 4,00 4,00 3,00 3,00 F 2011 G09 FB 17/9/2011 98
B7369 15731812 BM1557 213 5 F2011G09 101 26,00 164,03 2,00 1,00 1,00 2,00 F 2011 G09 FB 17/9/2011 118
B7370 872101AJ BM080022A 213 3 M2011G08 97 35,00 192,75 4,00 5,00 5,00 2,00 M 2011 G08 FB 17/9/2011 45
B7371 KAP2376 BR070733 213 4 M2011G08 97 36,00 196,70 5,00 4,00 3,00 3,00 M 2011 G08 FB 17/9/2011 49
B7372 SF054303 Y0254 213 3 M2011G08 97 31,00 197,62 4,00 4,00 4,00 3,00 M 2011 G08 FB 17/9/2011 47
B7373 872101AJ BR070775 213 4 F2011G07 91 33,00 175,96 4,00 4,00 4,00 3,00 F 2011 G07 FB 17/9/2011 49
B7374 872101AJ X2187 213 4 F2011G07 91 34,00 171,04 3,00 4,00 5,00 3,00 F 2011 G07 FB 17/9/2011 49
B7375 9208FM GO020764 211 5 F2011G09 101 27,00 161,36 3,00 3,00 3,00 3,00 F 2011 G09 FB 19/9/2011 107
B7376 844408AJN FU040031 211 5 F2011G09 101 28,00 183,26 5,00 5,00 5,00 3,00 F 2011 G09 FB 19/9/2011 87
B7377 368908PA GO040429 211 5 F2011G09 101 30,00 213,13 5,00 5,00 5,00 2,00 F 2011 G09 FB 19/9/2011 84
B7378 9208FM BR1643 211 7 F2011G09 101 27,00 155,39 3,00 4,00 4,00 2,00 F 2011 G09 FB 19/9/2011 160
B7379 KAPBRMNE1145 X1596 211 5 F2011G09 101 23,00 149,40 2,00 3,00 2,00 2,00 F 2011 G09 FB 19/9/2011 75
B7380 KAP480 X0030 211 4 F2011G09 101 35,00 183,29 4,00 4,00 3,00 3,00 F 2011 G09 FB 19/9/2011 70
B7381 KAPBRMNE1153 BR2869 211 7 F2011G09 101 26,00 152,40 2,00 2,00 2,00 3,00 F 2011 G09 FB 19/9/2011 183
B7382 15731814 X0027 211 7 F2011G09 101 27,00 149,42 1,00 1,00 1,00 2,00 F 2011 G09 FB 19/9/2011 159
B7383 844408AJN X1335 211 4 F2011G09 101 33,00 189,26 3,00 4,00 4,00 3,00 F 2011 G09 FB 19/9/2011 62
B7384 MANAB8369 BR020966 211 5 M2011G10 101 25,00 144,43 1,00 1,00 1,00 4,00 M 2011 G10 FB 19/9/2011 108
B7386 HBBO105694 X0183 211 6 M2011G10 101 36,00 159,41 2,00 2,00 3,00 2,00 M 2011 G10 FB 19/9/2011 132
B7387 4508FSA Z0058 211 4 M2011G10 101 28,00 174,30 4,00 5,00 5,00 3,00 M 2011 G10 FB 19/9/2011 60
B7388 099102AJ BM1104 211 5 M2011G10 101 40,00 207,20 5,00 4,00 3,00 3,00 M 2011 G10 FB 19/9/2011 120
B7389 368908PA X1210 211 5 M2011G10 101 36,00 191,26 5,00 5,00 4,00 3,00 M 2011 G10 FB 19/9/2011 111
B7390 KAPBRMNE1150 BR031227 211 5 M2011G10 101 46,00 190,31 3,00 2,00 2,00 3,00 M 2011 G10 FB 19/9/2011 96
B7391 368908PA BR020196 211 5 M2011G10 101 33,00 219,11 5,00 4,00 4,00 3,00 M 2011 G10 FB 19/9/2011 111
B7392 368908PA BR1328 211 7 M2011G10 101 35,00 201,21 3,00 4,00 4,00 3,00 M 2011 G10 FB 19/9/2011 169
B7393 818904AJ GO0430 211 5 M2011G10 101 31,00 183,27 4,00 4,00 4,00 3,00 M 2011 G10 FB 19/9/2011 120
B7394 872101AJ BR020844 211 5 M2011G10 101 33,00 199,21 5,00 5,00 5,00 2,00 M 2011 G10 FB 19/9/2011 109
B7395 368908PA 0249F 211 5 M2011G10 101 32,00 205,18 5,00 5,00 5,00 3,00 M 2011 G10 FB 19/9/2011 116
B7396 KAP2376 BR060279 211 4 M2011G10 101 31,00 208,16 3,00 5,00 5,00 3,00 M 2011 G10 FB 19/9/2011 62
B7397 872101AJ X2247 211 4 F2011G07 91 35,00 197,23 4,00 5,00 5,00 3,00 F 2011 G07 FB 19/9/2011 49
B7398 KAPBRMNE1144 0583TKBE 211 4 F2011G07 91 24,00 157,36 2,00 3,00 2,00 3,00 F 2011 G07 FB 19/9/2011 50
B7399 099102AJ 716T 211 4 M2011G08 97 37,00 200,22 3,00 5,00 5,00 2,00 M 2011 G08 FB 19/9/2011 49
B7400 099102AJ Y0315 210 3 F2011G07 91 35,00 190,00 4,00 5,00 5,00 3,00 F 2011 G07 FB 20/9/2011 45
B7403 KAPBRMNE1149 72 210 6 M2011G10 101 29,00 181,00 3,00 4,00 4,00 3,00 M 2011 G10 FB 20/9/2011 123
B7404 447101AJ FU040033 210 5 M2011G10 101 40,00 198,00 4,00 3,00 4,00 2,00 M 2011 G10 FB 20/9/2011 87
B7405 MANAB8369 X1489 210 5 M2011G10 101 38,00 215,00 5,00 4,00 5,00 3,00 M 2011 G10 FB 20/9/2011 75
B7406 KAP480 BM060713 210 4 M2011G10 101 29,00 178,00 3,00 4,00 3,00 3,00 M 2011 G10 FB 20/9/2011 59
B7407 HBBO105694 Z0117A 210 6 M2011G04 52 28,00 239,00 0,00 0,00 0,00 0,00 M 2011 G04 FB 20/9/2011 123
B7408 KAPBRMNE1153 Z0521 210 5 F2011G09 101 28,00 179,00 5,00 5,00 5,00 3,00 F 2011 G09 FB 20/9/2011 96
B7409 844408AJN BM1582 210 5 M2011G10 101 35,00 209,00 5,00 4,00 4,00 3,00 M 2011 G10 FB 20/9/2011 117
B7410 HBBPC255935 1733GEN 210 6 M2011G04 52 36,00 227,00 0,00 0,00 0,00 0,00 M 2011 G04 FB 20/9/2011 143
B7411 15731812 0772JN 210 4 M2011G04 52 32,00 238,00 0,00 0,00 0,00 0,00 M 2011 G04 FB 20/9/2011 71
B7412 HBBO105694 BR060386 210 4 M2011G04 52 40,00 259,00 0,00 0,00 0,00 0,00 M 2011 G04 FB 20/9/2011 62
B7413 HBBPC255935 BR070834 210 4 M2011G04 52 31,00 244,00 0,00 0,00 0,00 0,00 M 2011 G04 FB 20/9/2011 49
B7414 15731812 4544 210 5 M2011G04 52 30,00 218,00 0,00 0,00 0,00 0,00 M 2011 G04 FB 20/9/2011 81
B7415 HBBO105694 BR061355 255 4 F2011G03 47 35,00 204,65 0,00 0,00 0,00 0,00 F 2011 G03 FB 20/9/2011 59
B7416 HBBO105694 0011GU 210 4 F2011G03 47 33,00 227,00 0,00 0,00 0,00 0,00 F 2011 G03 FB 20/9/2011 71
B7417 15731814 BR070831 210 4 F2011G03 47 34,00 227,00 0,00 0,00 0,00 0,00 F 2011 G03 FB 20/9/2011 49
B7418 HBB128670 Y3154 210 3 F2011G03 47 30,00 201,00 0,00 0,00 0,00 0,00 F 2011 G03 FB 20/9/2011 47
B7419 15731814 0594JN 210 4 F2011G03 47 31,00 221,00 0,00 0,00 0,00 0,00 F 2011 G03 FB 20/9/2011 71
B7420 15731814 4906 210 4 F2011G03 47 22,00 146,00 0,00 0,00 0,00 0,00 F 2011 G03 FB 20/9/2011 52
B7421 15731814 4906 210 4 M2011G04 52 26,00 186,00 0,00 0,00 0,00 0,00 M 2011 G04 FB 20/9/2011 52
B7422 HBB128670 BR040732 207 5 F2011G03 47 38,00 232,78 0,00 0,00 0,00 0,00 F 2011 G03 FB 23/9/2011 84
B7423 15731812 AR040004A 207 5 F2011G03 47 35,00 199,35 0,00 0,00 0,00 0,00 F 2011 G03 FB 23/9/2011 88
B7424 KAPBRMMR1151 AR040108 207 5 F2011G03 47 43,00 212,42 0,00 0,00 0,00 0,00 F 2011 G03 FB 23/9/2011 75
